                       Headset Description                        ,,,,,,,,,,,,,,
==================================================================,,,,,,,,,,,,,,
Product Name: Oculus Rift CV1,,,,,,,,,,,,,,
Serial Number: WMHD30311019KC,,,,,,,,,,,,,,
Headset Refresh Rate: 89.997 frames per second,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
                           Sensor Data                            ,,,,,,,,,,,,,,
==================================================================,,,,,,,,,,,,,,
Angular Acceleration,,,Linear Acceleration,,,Angular Velocity (Gyro),,,Linear Velocity,,,Yaw,Pitch,Roll
x,y,z,x,y,z,x,y,z,x,y,z,Y,P,R
-0.639552,-0.7432,6.44909,-0.156886,-0.278816,0.117734,0.273172,0.218909,0.130307,0.0347905,0.0402591,0.0272038,-0.764111,7.23725,0.244547
-0.116697,-0.365547,-3.1465,0.15629,0.154564,-0.370725,-0.0703401,-0.0647317,-0.00166864,0.00125126,-0.00668553,3.18E-05,-0.611202,6.38815,1.93453
-1.54171,-5.22168,0.85061,-0.105733,0.35037,-0.372479,0.129535,0.00483737,-0.0305044,-0.00170817,0.0127662,0.0209102,-0.710757,5.21711,0.728062
1.275,-1.33134,1.55585,-0.0024416,-0.108499,-0.298189,0.089652,-0.161508,-0.239418,-0.0120664,0.0230692,0.021496,-1.99787,6.50458,-1.43207
0.339326,1.9617,3.30173,0.200024,0.0724157,-0.0167201,0.00770881,-0.0340755,0.0229456,0.00367324,0.000205296,-0.00345576,-3.16337,6.3014,-2.73201
0.902093,7.98088,0.319356,-0.314003,0.454,-0.951493,0.200653,0.125645,-0.165096,0.0225834,-0.0145817,-0.0672195,-3.38848,8.65741,-2.54656
-75.2292,14.4838,-20.2438,-0.0938446,-3.92454,-5.19274,5.99118,0.149399,0.302638,-0.0296204,0.422381,0.469557,-0.169397,52.3154,-0.596008
-32.618,-38.2812,-19.6065,1.15782,-10.5863,5.61224,-10.9767,0.415038,-1.25545,-0.106898,-0.758022,-0.580844,8.63932,6.34837,-2.49615
151.489,21.6478,32.9655,-0.673543,7.86129,-6.87452,-0.351762,0.236838,0.100056,0.00603704,0.0791581,0.0546757,129.061,-81.9852,-133.602
-52.1728,-13.464,4.20691,0.16798,-7.69536,5.35363,9.69746,-0.376637,1.93812,-0.0271964,0.672131,0.378695,7.75016,20.6603,7.77147
-129.839,27.0157,-3.64544,-0.271957,-8.56607,-7.4949,-7.76993,0.132895,-1.43642,0.0053597,-0.190799,-0.576516,5.89633,45.1745,6.77136
55.7337,1.60411,13.5693,-0.621254,5.96775,0.300117,-8.31463,-0.207055,-0.694227,-0.0271823,-0.695208,0.352772,12.9688,-77.8904,-15.6784
40.5639,-6.87626,-28.8624,0.417965,2.84317,6.91721,11.9689,0.183066,1.19747,-0.0196961,1.04193,-0.163591,4.94543,-38.9319,-3.39889
-143.831,-2.76348,-8.43617,0.878909,-4.304,-9.24802,-0.11076,-0.599104,0.82194,0.0723393,0.0122648,-0.0163777,2.89633,56.9958,3.58328
86.5266,36.7976,35.245,-1.86142,8.44574,1.44835,-3.82441,0.981803,-0.146644,-0.113221,-0.259026,-0.0689838,0.788212,-16.7255,-8.2727
-6.05501,29.0985,-65.9278,0.848582,-1.96427,0.572074,2.85834,2.08634,7.46852,-0.52891,-0.23453,0.315109,19.5333,-2.21624,61.8842
-3.30529,-18.4367,-59.5246,3.08917,2.00345,-0.382949,0.0845554,-2.27304,-4.70943,0.13117,0.41753,-0.0938578,25.1435,-1.42606,78.9987
37.3949,-10.5652,27.6738,0.599037,-5.62834,0.506784,3.41215,-4.34069,-7.82146,0.408202,-0.321375,0.105011,-11.725,27.6647,-23.361
40.2788,34.5731,96.2185,3.50803,12.2493,-0.276499,-1.88679,1.44246,2.526,-0.0438309,0.322346,-0.171599,-13.3889,7.37822,-69.2421
-6.92967,2.17816,-93.0377,1.03999,-11.2625,1.76282,0.785167,5.03178,9.38797,-0.681485,-0.388659,0.230196,23.6101,19.1026,48.9928
27.2084,-43.7278,-95.4415,2.27434,6.44256,-1.16881,-0.929806,-2.37021,-5.86098,0.217052,0.430706,-0.179686,26.3003,-2.50686,79.2147
-30.701,-26.2075,101.903,-3.30461,-4.67251,2.24608,1.81631,-4.68916,-9.98311,0.410063,-0.938088,0.0841694,-10.2198,13.7954,-49.2461
38.305,7.38363,73.867,-1.41733,3.46814,0.276328,0.0418612,1.82596,6.42226,0.093442,0.774868,-0.114963,-4.85047,6.31934,-63.9135
-36.1812,-3.80268,-3.91192,3.53696,-11.5267,0.357959,1.10704,3.30766,9.16849,-0.65377,-0.458629,0.357956,26.0044,7.08129,53.4443
4.53122,-37.1861,-96.0268,3.00991,7.52331,-4.40396,0.180924,-2.66708,-5.58768,0.118696,0.585054,-0.116368,27.2737,-4.73616,89.4675
-73.7034,63.7185,146.09,-3.28326,4.76383,1.15213,-2.76297,-0.180056,-4.58382,-0.179197,-0.660282,-0.0737321,3.81013,7.37176,-17.2616
-26.0222,-99.098,0.305049,3.40652,1.92809,-5.04245,-0.693301,-0.827559,-0.465868,0.197577,0.0452017,-0.0374865,40.067,2.58516,-8.2077
-67.6341,67.472,-53.2118,-2.82919,-8.21562,-0.552146,-1.23266,-8.17446,3.08478,0.212006,-0.131244,0.360479,-51.6105,5.53921,5.91797
22.8843,57.1296,-49.1279,-4.89851,2.24948,0.906074,0.708577,8.21262,-3.43686,-0.288537,0.0784793,-0.117079,-45.1019,2.0475,19.0463
47.0415,-84.0107,62.6266,7.75136,2.01247,-3.85709,-0.67454,6.53714,-2.35247,-0.152743,-0.134728,0.121516,69.0096,8.43605,-19.9228
22.8399,-29.7157,22.0066,1.0139,3.49153,2.14152,0.805786,-9.78722,2.29168,0.330158,0.0952865,-0.130033,31.1182,-9.54632,-14.0787
-3.36666,105.14,-10.7354,2.63826,1.65227,-3.85061,-0.106307,-2.01335,1.75145,0.171715,-0.155242,-0.0712682,-62.5442,11.4038,21.246
23.2601,8.2178,27.385,-2.40919,0.904232,5.06969,1.11284,11.4323,-2.1933,-0.494776,0.0728685,0.140897,5.32145,-13.1916,-3.49243
8.66871,-77.0566,-32.1722,4.52762,-2.78787,-1.76277,-2.04344,-7.08767,-0.241262,0.0819905,-0.118219,-0.62057,44.2382,-4.93182,-12.1998
-26.3195,-9.27532,-13.8503,0.82372,-1.1242,-3.93224,3.14397,-0.00552257,-0.35142,0.121572,0.0616198,0.734607,1.39381,4.83793,2.0081
0.802363,51.8405,-5.2651,-1.59778,-1.53054,1.96069,-2.07335,1.39919,0.240969,-0.0436064,-0.0289676,-1.77394,-3.97317,6.75791,1.65676
3.01293,1.25976,5.20334,0.342194,-2.07408,12.8242,2.31281,0.0222583,0.300982,-0.0130871,0.404982,0.811078,4.03623,1.61199,-0.710152
-8.768,14.3434,-11.5932,-2.26153,6.09452,-16.742,-1.49269,-0.177379,-0.358404,-0.0516293,-0.536027,0.736984,3.27143,11.018,2.50442
-74.5032,-5.58611,0.154738,0.398745,-7.25,-3.96491,-0.736262,0.103307,0.559722,-0.0948652,0.150341,-1.77021,7.43183,9.78755,2.97633
0.82084,-7.11682,10.1474,2.40037,-1.88385,14.8862,2.65893,0.459802,-0.285666,0.0936656,0.453109,1.14335,6.56878,-0.96945,-1.83182
-18.1607,9.77472,0.612958,0.278081,2.21899,-19.6107,-1.22492,0.0500622,-0.00399049,-0.0736282,-0.248653,0.307714,5.44161,9.14091,-0.622204
-38.5543,-30.1387,-13.229,2.37589,-10.1446,3.12158,-1.06895,-1.07649,1.0125,0.0754865,-0.16645,-1.74366,6.49229,8.54195,2.46169
-16.5355,-13.6577,5.71797,1.63086,-4.67083,11.1517,2.73552,0.17511,-0.436526,0.122673,0.395189,1.60314,7.14432,2.06443,0.345612
-27.3201,43.4789,-15.2009,0.94742,-0.255234,-17.4081,-0.695391,0.219765,0.135295,-0.0390829,-0.0577191,-0.305915,5.75481,11.3524,-3.12458
-29.661,45.2239,-22.1546,0.152348,-7.00489,15.9012,-1.64673,-0.401942,0.669325,0.0744796,-0.349908,-1.42096,3.85908,4.56638,2.76072
-31.9622,-7.39587,-7.76589,-2.67212,-7.42351,2.47414,1.23383,-0.121512,-0.00502373,0.0872365,0.0318318,1.89458,4.93381,9.49399,2.81651
-29.381,-24.4712,11.3073,2.83082,-2.77436,-4.58047,-2.21122,-0.543143,-2.18871,0.493662,-0.189808,-0.884692,2.25542,7.29636,-8.32092
4.3034,14.4328,13.0322,-21.1289,2.47751,-0.778639,1.40361,0.149231,1.99707,-1.1668,0.48382,0.018901,-5.35386,-1.59887,-10.3411
17.9854,-37.8057,20.0629,27.4047,7.16742,-1.67666,-1.57055,3.72719,-1.63375,-0.238611,-0.296212,-0.103078,19.2087,2.43579,1.94103
-30.2873,-2.66095,31.1005,-8.29623,-5.2114,1.87889,0.759026,-2.64625,-0.355859,2.65838,-0.176516,0.472888,-0.197253,4.81237,-3.07481
-3.2491,34.9661,6.83669,-14.8413,-2.60856,0.372513,2.09264,3.78273,-0.35441,-1.74364,0.384441,-0.264305,-14.8359,-0.586442,-1.49592
33.8699,-55.4873,35.0861,26.4035,7.57391,-4.13082,-1.97913,2.86502,0.287237,-0.58212,-0.341782,-0.00881345,26.5654,-0.508838,0.528583
-74.3842,24.9874,0.660929,-16.085,-8.57504,-2.23628,-1.22687,-0.999969,-0.443386,1.37256,-0.652957,0.090705,3.099,-0.880645,6.84108
-12.7163,3.03506,61.5353,0.957057,9.98465,-3.20775,4.5461,0.47079,-2.19924,-0.31813,2.69117,0.548413,-3.79453,-3.82404,-5.23479
-12.4843,21.7838,-39.5004,0.163762,-30.2782,5.75575,-0.185441,2.52929,-0.910439,-0.174961,0.269904,0.0363066,2.48548,26.4799,-7.26296
-26.4506,-3.27523,41.2307,-1.80081,-0.135228,-0.41963,-2.15419,-2.51043,-0.0859278,0.179092,-2.93841,-0.0853594,2.23515,18.0783,-15.8209
113.204,18.269,-6.88401,0.283406,31.5302,-1.31968,4.85791,0.317267,-0.0742369,0.0287149,0.914697,0.117949,2.40597,-24.8252,-3.69798
-91.8435,95.1396,17.8169,-8.28435,-17.273,7.15821,-2.27027,1.67037,-0.237505,-0.084318,0.678139,0.322102,-3.74282,24.5761,-11.5326
-16.7154,19.5135,-8.6305,-5.77417,-2.51266,-1.38702,-0.569165,1.59158,-1.07226,-1.18354,0.256643,0.0946756,16.2671,22.6738,-3.87572
32.3141,-1.1264,20.2364,12.9723,-1.40292,-3.36563,0.110901,-0.480658,-0.0882061,0.222349,-0.449527,-0.109092,31.9884,9.27158,-9.69171
-56.8311,-25.4297,-2.43296,9.16346,-13.828,2.51348,-2.2718,-3.06724,-1.34197,2.64652,-2.41037,-0.622916,12.9458,6.08313,-15.2118
8.00368,57.7803,-14.3039,-4.89633,15.4846,-10.3369,-0.122436,2.36049,-1.6707,-0.0537494,0.0714331,0.424313,-19.9397,-41.9312,-20.5459
-7.70431,-4.81603,0.361861,0.374855,-0.833485,1.56172,1.17512,1.36541,0.458617,-0.4101,0.834647,-0.590264,-11.4105,-23.7761,-29.0293
2.02868,1.36034,-5.37799,3.65251,7.97312,2.92189,4.06831,0.328322,0.658217,0.485002,2.48134,0.0552298,-12.77,-4.224,-17.6765
26.9452,23.3465,-12.4643,-7.52506,-10.957,0.143165,-0.54644,2.1606,0.144904,-0.438309,0.402806,0.139187,-20.6635,16.8492,-22.6422
89.9624,-117.136,-45.4895,-9.34505,-5.20512,4.42974,-5.83855,4.91974,-1.5733,-3.48904,-2.89576,-0.768052,20.6466,5.44748,-4.66576
53.5122,-33.8314,-5.11202,8.35213,10.0107,-12.8657,-1.04622,-0.401159,0.615351,-0.593051,-0.140362,0.307134,72.136,-40.0886,-19.3923
2.32046,-0.128518,-12.1715,0.0192317,1.09566,3.57783,1.18661,-0.309825,-0.859523,0.133134,0.232854,-0.321273,63.9628,-33.483,-14.748
-8.342,-0.746121,-13.7522,1.15327,1.47979,-2.42648,1.85992,-1.01861,1.05355,0.355903,0.734242,-0.43073,52.44,-14.7859,-17.8787
-35.6933,38.8625,-13.781,-2.10147,-4.78859,2.54012,2.01515,-3.70633,2.24416,0.163478,0.567745,-0.157756,20.034,6.93904,1.19371
