                       Headset Description                        ,,,,,,,,,,,,,,
==================================================================,,,,,,,,,,,,,,
Product Name: Oculus Rift CV1,,,,,,,,,,,,,,
Serial Number: WMHD30311019KC,,,,,,,,,,,,,,
Headset Refresh Rate: 89.997 frames per second,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
                           Sensor Data                            ,,,,,,,,,,,,,,
==================================================================,,,,,,,,,,,,,,
"Angular Accel. (x,y,z)",,,"Linear Accel. (x,y,z)",,,"Angular Velocity (Gyro) (x,y,z)",,,"Linear Velocity (x,y,z)",,,Yaw,Pitch,Roll
x,y,z,x,y,z,x,y,z,x,y,z,Y,P,R
-1.49907,-0.724086,-0.00921812,0.026439,0.0267015,0.0192531,-0.00873161,-0.0119531,0.0105179,0.00325886,0.00233568,0.000296573,-1.05801,10.5732,-3.89349
1.48109,0.455039,3.48338,-0.0289777,0.0939637,0.00256791,-0.000367946,-0.0170778,-0.00538533,0.00307947,0.00229871,0.00136709,-1.13084,10.5207,-4.12173
4.01267,-6.18389,-0.855268,-0.0308495,-0.197814,-0.10178,-0.00967968,-0.00799885,0.0316557,0.00204863,-0.00686735,-0.00251735,-1.19547,10.6131,-4.11816
1.82243,-0.236343,-0.216,-0.0504653,-0.117118,-0.101914,-0.034518,-0.0187788,-0.136544,-0.00148505,-0.0298601,-0.0388017,-1.06513,10.7333,-3.92755
4.57849,-0.607001,1.57168,-0.0469176,0.399206,0.535813,0.0716763,0.0467617,0.0726648,-0.0144393,0.0228407,0.0314621,-1.54684,10.0661,-4.02897
-1.22726,6.43056,-1.89885,0.0967553,-0.319886,-0.262941,0.0893023,0.117471,0.034644,-0.0133818,0.0337064,0.0572637,0.255101,10.924,-3.05182
-3.85188,2.71347,-19.3882,0.837224,0.5959,0.133248,-0.0400507,0.0802989,-0.0153275,-0.0132616,-0.019249,0.0124747,0.635306,10.7091,-2.7095
-2.19232,6.84552,-6.84966,0.195734,0.138831,-1.42339,-0.16812,-0.091465,0.0919891,-0.00160549,-0.0200394,-0.16278,0.0951791,10.0826,-2.43085
0.216398,0.620058,1.06338,0.229509,0.0741398,-1.02276,0.204727,0.141986,0.0845309,0.0057285,0.0566181,-0.325543,0.583953,10.4693,-1.27857
3.78941,-4.76213,-3.69368,0.547046,0.499433,0.396929,0.0376628,-0.22425,0.0650583,-0.0167435,0.00436304,-0.413391,0.319884,11.1611,-1.23252
2.25438,2.42591,0.672088,0.367421,-0.26478,0.743041,-0.102178,-0.136902,0.279358,-0.00178236,0.00209288,-0.288973,-0.535464,10.9067,0.177373
3.47102,7.63702,4.77144,0.407622,-0.0650094,1.06053,0.0941291,-0.047797,-0.26627,0.0331436,0.0105409,0.0187361,-2.37218,9.75216,-1.02603
-0.666575,-3.53611,1.21483,-0.0342047,-0.184381,1.39355,-0.150203,0.032476,0.0484886,0.0408691,-0.0284207,0.204345,-2.03324,9.74794,-1.26862
2.92517,5.68605,-3.73767,0.0965766,0.170866,0.796517,0.185182,0.0639455,0.242993,0.0208801,-0.00746975,0.424771,-1.63369,8.48832,0.935363
1.4743,-1.17965,-0.429759,-0.379507,-0.0192641,-0.306529,-0.0472789,0.00884948,-0.252348,-0.00650896,-0.0114371,0.48711,-1.29937,8.69245,0.757751
-0.738102,1.68262,0.983365,-0.2887,-0.215995,-0.553247,-0.135533,-0.00982379,0.0901006,0.0019037,-0.0706456,0.376972,-1.05241,7.84899,-0.350524
-13.4795,-3.47681,-0.539512,0.35647,0.207476,-0.65063,-0.157395,0.0846123,-0.00549741,-0.00972957,-0.0382542,0.285813,-0.568624,7.5317,0.205171
1.32534,5.5158,0.824381,0.378336,0.535859,-1.52446,-0.202677,-0.116071,-0.0690669,-0.0165937,-0.0555834,0.100513,-1.08902,5.95665,0.309054
7.93617,4.79186,0.909477,-0.267514,0.293919,-1.49833,0.0867746,0.199606,0.0909714,0.000344871,0.0361332,-0.197405,-0.792558,5.53028,1.24762
-1.28028,-0.5133,5.69874,0.178651,-0.10921,-0.353808,0.0782027,-0.106786,0.205477,0.0322316,0.0258275,-0.412083,-0.511541,7.06336,1.96975
-3.54058,-3.99888,6.72852,0.670061,-0.114052,-0.505844,0.203325,-0.162318,-0.110738,0.0494326,0.0510269,-0.368693,0.317177,9.2934,1.44128
1.93795,1.23689,-5.12146,-0.406671,-0.0710735,1.5001,-0.0609865,-0.0132367,-0.00411619,0.0311596,0.0177953,-0.0612858,-3.21514,8.93593,2.23555
0.869177,1.61958,4.24921,-2.11367,0.551814,0.235014,-0.166036,0.0591716,0.0542277,-0.160685,-0.0302758,0.0224223,-2.77592,7.6114,0.599052
-0.211493,-1.1206,-2.23453,-0.964908,-0.014274,-0.0472651,0.334503,0.257517,-0.0892177,-0.489434,0.0389178,0.0319813,-1.06816,9.61673,1.74072
-3.52414,0.217306,2.42525,0.393637,-0.160554,0.192341,-0.0300564,0.126793,0.00430808,-0.567759,0.00597443,0.0529575,1.43061,9.83052,0.689812
-9.10217,-6.71822,0.124227,2.23813,0.174007,-0.511567,0.140036,0.472843,0.0848633,-0.253518,0.0260127,0.0572585,5.20298,13.8853,3.00141
